date,killed_in_lebanon,palestine_children_tfp,palestine_adults_tfp,israel_children,israel_adults,palestine_total,palestine_children_adj,palestine_contested,palestine_adults_adj
2024-07-12,574,16054,22328,24,1571,38382,11896.587176799441,4157.412823200559,22328
2024-07-13,576,16054,22389,24,1571,38443,11915.494263918006,4138.505736081994,22389
2024-07-14,576,16054,22530,24,1571,38584,11959.197530864198,4094.8024691358023,22530
2024-07-15,579,16054,22610,24,1571,38664,11983.993710691824,4070.006289308176,22610
2024-07-16,582,16054,22659,24,1571,38713,11999.181370836244,4054.8186291637558,22659
2024-07-17,582,16172,22622,24,1571,38794,12024.287502911717,4147.712497088283,22622
2024-07-18,588,16172,22676,24,1571,38848,12041.024924295365,4130.975075704635,22676
2024-07-19,589,16172,22710,24,1571,38882,12051.563300722106,4120.436699277894,22710
2024-07-20,590,16172,22747,24,1571,38919,12063.031533892383,4108.968466107617,22747
2024-07-21,592,16172,22811,24,1571,38983,12082.868477754484,4089.131522245516,22811
2024-07-22,593,16251,22755,24,1571,39006,12089.997379454926,4161.002620545074,22755
2024-07-23,594,16251,22839,24,1571,39090,12116.033368273935,4134.966631726065,22839
2024-07-24,594,16251,22894,24,1571,39145,12133.080741905427,4117.919258094573,22894
2024-07-25,595,16251,22924,24,1571,39175,12142.379309340788,4108.620690659212,22924
2024-07-26,597,16251,22966,24,1573,39217,12155.397303750291,4095.602696249709,22966
2024-07-27,601,16251,23007,24,1573,39258,12168.105345911948,4082.8946540880515,23007
2024-07-28,601,16251,23073,24,1573,39324,12188.562194269742,4062.4378057302583,23073
2024-07-29,606,16251,23112,24,1574,39363,12200.650331935709,4050.349668064291,23112
2024-07-30,615,16251,23149,24,1574,39400,12212.118565105986,4038.881434894014,23149
2024-07-31,615,16251,23194,24,1574,39445,12226.066416259026,4024.9335837409744,23194
2024-08-01,619,16314,23166,24,1574,39480,12236.914744933612,4077.0852550663876,23166
2024-08-02,619,16314,23205,24,1574,39519,12249.00288259958,4064.9971174004204,23205
2024-08-03,622,16314,23236,24,1574,39550,12258.611402282786,4055.388597717214,23236
2024-08-04,624,16314,23269,24,1574,39583,12268.83982646168,4045.160173538319,23269
2024-08-05,628,16314,23309,24,1574,39623,12281.237916375494,4032.762083624506,23309
2024-08-06,634,16365,23288,24,1574,39653,12290.536483810854,4074.4635161891456,23288
2024-08-07,637,16365,23312,24,1574,39677,12297.975337759142,4067.0246622408577,23312
2024-08-08,637,16365,23334,24,1574,39699,12304.79428721174,4060.20571278826,23334
2024-08-09,641,16365,23385,24,1574,39750,12320.601851851852,4044.398148148148,23385
2024-08-10,641,16365,23425,24,1574,39790,12332.999941765665,4032.0000582343346,23425
2024-08-11,644,16365,23425,24,1574,39790,12332.999941765665,4032.0000582343346,23425
2024-08-12,644,16456,23441,24,1575,39897,12366.164832285114,4089.8351677148858,23441
2024-08-13,646,16456,23473,24,1575,39929,12376.083304216165,4079.916695783835,23473
2024-08-14,648,16456,23509,24,1575,39965,12387.241585138598,4068.7584148614023,23509
2024-08-15,650,16456,23549,24,1575,40005,12399.63967505241,4056.360324947589,23549
